gitauthor,projectname,commitid,commitmessage,lsof_modifiedfiles,isPR,PRTitle,PRDescription,Status
Madhava Jay,OpenMined/PySyft,1a9da6a992f66722699a691a773cfb8102a8e428,Merge pull request #8553 from OpenMined/yash/fix-tests  Fix unit tests,".github/workflows/pr-tests-stack.yml, .github/workflows/pr-tests-syft.yml, .pre-commit-config.yaml, packages/grid/backend/grid/core/config.py, packages/grid/docker-compose.yml, packages/hagrid/hagrid/cli.py, packages/syft/setup.cfg, packages/syft/src/syft/client/api.py, packages/syft/src/syft/node/node.py, packages/syft/src/syft/protocol/protocol_version.json, packages/syft/src/syft/service/action/action_graph.py, packages/syft/src/syft/service/action/action_object.py, packages/syft/src/syft/service/action/plan.py, packages/syft/src/syft/service/code/user_code.py, packages/syft/src/syft/service/job/job_stash.py, packages/syft/src/syft/service/notifier/notifier_service.py, packages/syft/src/syft/service/queue/zmq_queue.py, packages/syft/src/syft/service/worker/utils.py, packages/syft/src/syft/store/document_store.py, packages/syft/src/syft/types/syft_object.py, packages/syft/tests/conftest.py, packages/syft/tests/syft/action_graph/action_graph_test.py, packages/syft/tests/syft/action_test.py, packages/syft/tests/syft/dataset/dataset_stash_test.py, packages/syft/tests/syft/eager_test.py, packages/syft/tests/syft/enclave/enclave_test.py, packages/syft/tests/syft/gateways/gateway_test.py, packages/syft/tests/syft/locks_test.py, packages/syft/tests/syft/orchestra/orchestra_test.py, packages/syft/tests/syft/request/request_multiple_nodes_test.py, packages/syft/tests/syft/request/request_stash_test.py, packages/syft/tests/syft/serde/numpy_functions_test.py, packages/syft/tests/syft/service/sync/sync_flow_test.py, packages/syft/tests/syft/stores/dict_document_store_test.py, packages/syft/tests/syft/stores/kv_document_store_test.py, packages/syft/tests/syft/stores/mongo_document_store_test.py, packages/syft/tests/syft/stores/queue_stash_test.py, packages/syft/tests/syft/stores/sqlite_document_store_test.py, packages/syft/tests/syft/stores/store_fixtures_test.py, packages/syft/tests/syft/syft_functions/syft_function_test.py, packages/syft/tests/syft/users/user_code_test.py, packages/syft/tests/syft/utils.py, packages/syft/tests/utils/custom_markers.py, packages/syft/tests/utils/mongodb.py, packages/syft/tests/utils/xdist_state.py, tests/integration/conftest.py, tests/integration/local/enclave_local_test.py, tests/integration/local/gateway_local_test.py, tests/integration/local/request_multiple_nodes_test.py, tests/integration/local/syft_function_test.py, tests/integration/network/gateway_test.py, tests/integration/orchestra/orchestra_test.py, tox.ini",True,Fix unit tests,"## Description
Please include a summary of the change, the motivation, and any additional context that will help others understand your PR. If it closes one or more open issues, [please tag them as described here](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue#linking-a-pull-request-to-an-issue-using-a-keyword).

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [x] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [x] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [x] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [x] My changes are covered by tests
",Success
Madhava Jay,OpenMined/PySyft,a2766fded2e3c29f728be76777732799a76d6343,Merge branch 'dev' into fix-ui/domain-profile,".github/workflows/stack-integration_tests.yml, notebooks/course3/L3_End_Assessment.txt, packages/grid/backend/backend.dockerfile, packages/syft/scripts/adjust_torch_versions.py, packages/syft/setup.cfg, scripts/vpn_scan.sh, tests/integration/proxy_client_test.py, tests/integration/trade_demo_smpc_adp_test.py, tests/integration/unfinished_task_test.py, tests/integration/vpn_ping_test.py, tests/scan_network/check_vpn_firewall_test.py, tests/vpn_connect/connect_nodes_test.py, tox.ini",True,Fix: domain config formData,"Closes [ch3699]

## Description
Please include a summary of the change, the motivation, and any additional context that will help others understand your PR. If it closes one or more open issues, [please tag them as described here](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue#linking-a-pull-request-to-an-issue-using-a-keyword).

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [ ] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [ ] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [ ] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [ ] My changes are covered by tests
",Success
Max Halford,creme-ml/creme,18192545c40a49f194cc6376521b3188ab72d71e,0.7  Former-commit-id: 653210f52b4b3feca42a8ae9a53795600e3d1fa2,".github/workflows/pypi.yml, .github/workflows/release-docs.yml, docs/examples/batch-to-online.ipynb, docs/examples/bike-sharing-forecasting.ipynb, docs/examples/building-a-simple-time-series-model.ipynb, docs/examples/concept-drift-detection.ipynb, docs/examples/debugging-a-pipeline.ipynb, docs/examples/imbalanced-learning.ipynb, docs/examples/matrix-factorization-for-recommender-systems-part-1.ipynb, docs/examples/matrix-factorization-for-recommender-systems-part-2.ipynb, docs/examples/quantile-regression-uncertainty.ipynb, docs/examples/sentence_classification.ipynb, docs/examples/the-art-of-using-pipelines.ipynb, docs/getting-started/getting-started.ipynb, docs/user-guide/hyperparameter-tuning.ipynb, river/datasets/credit_card.py, river/datasets/insects.py, river/datasets/test_datasets.py, setup.py",False,,,Success
rasswanth,OpenMined/PySyft,9d37ca9fe64ad8d15daee2a1c6836013e4aa4b07,Merge branch 'dev' into celery_clear_script,".github/workflows/benchmark.yml, packages/syft/src/syft/core/node/common/node_manager/database_manager.py, tox.ini",True,Added script to purge celery worker queue ,Added warning filter for numpy,Success
Mercè Martín Prats,bigmlcom/python,530d4ec3a64975a9c81c4b36b1cced7dce0e1f91,Fixing SupervisedModel class and improving tests eficiency,".github/workflows/tests_01.yml, .github/workflows/tests_05.yml, .github/workflows/tests_13.yml, .github/workflows/tests_22.yml, .github/workflows/tests_23.yml, .github/workflows/tests_35.yml, .github/workflows/tests_41.yml, .github/workflows/tests_42.yml, .github/workflows/tests_45.yml, bigml/api_handlers/resourcehandler.py, bigml/modelfields.py, bigml/supervised.py, bigml/tests/compare_predictions_steps.py, bigml/tests/create_anomaly_steps.py, bigml/tests/create_association_steps.py, bigml/tests/create_cluster_steps.py, bigml/tests/create_dataset_steps.py, bigml/tests/create_ensemble_steps.py, bigml/tests/create_evaluation_steps.py, bigml/tests/create_linear_steps.py, bigml/tests/create_model_steps.py, bigml/tests/create_pca_steps.py, bigml/tests/create_source_steps.py, bigml/tests/test_01_prediction.py, bigml/tests/test_03_local_prediction.py, bigml/tests/test_04_multivote_prediction.py, bigml/tests/test_05_compare_predictions.py, bigml/tests/test_05_compare_predictions_b.py, bigml/tests/test_06_batch_predictions.py, bigml/tests/test_07_multimodel_batch_predictions.py, bigml/tests/test_08_multimodel.py, bigml/tests/test_09_ensemble_prediction.py, bigml/tests/test_10_local_ensemble_prediction.py, bigml/tests/test_11_multimodel_prediction.py, bigml/tests/test_12_public_model_prediction.py, bigml/tests/test_13_public_dataset.py, bigml/tests/test_14_create_evaluations.py, bigml/tests/test_15_download.py, bigml/tests/test_16_sample_dataset.py, bigml/tests/test_17_split_dataset.py, bigml/tests/test_18_create_anomaly.py, bigml/tests/test_19_missing_and_errors.py, bigml/tests/test_20_rename_duplicated_names.py, bigml/tests/test_22_source_args.py, bigml/tests/test_23_local_model_info.py, bigml/tests/test_24_cluster_derived.py, bigml/tests/test_25_correlation.py, bigml/tests/test_26_statistical_test.py, bigml/tests/test_27_fields.py, bigml/tests/test_28_association.py, bigml/tests/test_29_script.py, bigml/tests/test_30_execution.py, bigml/tests/test_31_library.py, bigml/tests/test_32_topic_model_prediction.py, bigml/tests/test_33_compare_predictions.py, bigml/tests/test_34_time_series.py, bigml/tests/test_35_b_compare_predictions.py, bigml/tests/test_35_c_compare_predictions.py, bigml/tests/test_35_compare_predictions.py, bigml/tests/test_35_d_compare_predictions.py, bigml/tests/test_35_e_compare_predictions.py, bigml/tests/test_36_compare_predictions.py, bigml/tests/test_37_configuration.py, bigml/tests/test_38_organization.py, bigml/tests/test_39_optiml_fusion.py, bigml/tests/test_40_local_from_file.py, bigml/tests/test_41_multidataset.py, bigml/tests/test_42_pca.py, bigml/tests/test_43_linear.py, bigml/tests/test_44_compare_predictions.py, bigml/tests/test_45_external_connector.py, bigml/tests/test_46_model_cloning.py, bigml/tests/world.py",True,"Fixes, test improvement and tensorflow update",,Success
Guillaume Chevalier,Neuraxio/Neuraxle,429cef9bc909d0c1daea2fa4742b60514f17722e,Merge pull request #511 from Kimoby/update-new-lib-versions  Add Python 3.9 support & update some lib versions,".github/workflows/testpythonpackage.yml, .gitignore, README.rst, coverage.sh, examples/caching/plot_value_caching.py, flake8.sh, neuraxle/__init__.py, neuraxle/base.py, neuraxle/checkpoints.py, neuraxle/distributed/streaming.py, neuraxle/metaopt/auto_ml.py, neuraxle/steps/caching.py, neuraxle/steps/loop.py, neuraxle/steps/numpy.py, neuraxle/steps/sklearn.py, requirements.txt, run_quick_tests.sh, run_slow_tests.sh, setup.py, testing/examples/test_examples.py, testing/metaopt/test_automl.py, testing/metaopt/test_random.py, testing/steps/test_sklearn_wrapper.py, testing/steps/test_value_caching_wrapper.py, testing/test_basestep.py, testing/test_checkpoints.py, testing/test_context_logger.py, testing/test_joblib_checkpoint_step.py, testing/test_metastep_mixin.py, testing/test_output_transformer_wrapper.py, testing/test_pickle_checkpoint_step.py, testing/test_resumable_pipeline.py, testing/test_streaming.py, testing/test_truncable_steps.py",True,Add Python 3.9 support & update some lib versions,"Changes:
- add python 3.9 support.
- removed support for pickle checkpoints and kept only joblib checkpoints to simplify maintenance.
- add vscode to gitignore.
- little debugging and refactor of streaming pipeline for python 3.9 support.
- Usage of savers fixed in the threading and processes code after discovering the bug doing the refactor. 
- API breaking change to`SequentialQueuedPipeline` and `ParallelQueuedFeatureUnion` such that `use_threading` changed to`use_processes` to be more clear. 
- Some changes to the logging and to objects' print behavior due to the changes in parallelism and python version update.
- Version update bump from 0.6.0 to 0.6.1.
",Success
Shubham Gupta,OpenMined/PySyft,5d1e738abfbe317cf86b0ddf1b0dd080c991c7e6,Merge branch 'dev' into usercoderepr,".github/workflows/nightlies.yml, notebooks/tutorials/enclaves/Enclave-single-notebook-DO-DS.ipynb, notebooks/tutorials/enclaves/Enclave-single-notebook-high-low-network.ipynb, notebooks/tutorials/model-training/00-data-owner-upload-data.ipynb, notebooks/tutorials/model-training/01-data-scientist-submit-code.ipynb, notebooks/tutorials/model-training/02-data-owner-review-approve-code.ipynb, notebooks/tutorials/model-training/03-data-scientist-download-results.ipynb, notebooks/tutorials/model-training/Data Owner (DO).ipynb, notebooks/tutorials/model-training/Data Scientist (DS).ipynb, packages/grid/frontend/src/lib/components/Filter.svelte, packages/grid/frontend/src/lib/components/Pagination.svelte, packages/grid/frontend/src/routes/(app)/datasets/+page.svelte, packages/grid/frontend/src/routes/(app)/users/+page.svelte, packages/syft/src/syft/client/client.py, packages/syft/src/syft/client/domain_client.py, packages/syft/src/syft/client/enclave_client.py, packages/syft/src/syft/client/gateway_client.py, packages/syft/src/syft/external/oblv/deployment_client.py, packages/syft/src/syft/service/code/user_code.py, packages/syft/src/syft/service/dataset/dataset.py, packages/syft/src/syft/service/network/network_service.py, packages/syft/src/syft/service/project/project.py, packages/syft/src/syft/service/request/request.py, packages/syft/src/syft/service/user/user_service.py, packages/syft/tests/syft/dataset/fixtures.py, packages/syft/tests/syft/gateways/gateway_test.py, tox.ini",True,Added _repr_html_ method for UserCodeStatusContext,"## Description
Added _repr_html_ method for UserCodeStatusContext
Change display of usercodestatus in user_code_sevice call() method. This does not use the _repr_htm_ method I created. 

## Affected Dependencies
N/A

## How has this been tested?
Locally

## Checklist
- [X] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [X] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [X] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [X] My changes are covered by tests
",Success
Madhava Jay,OpenMined/PySyft,0d6f46a79f9793838631f3887f99b8a31335b016,Merge branch 'dev' into madhava/update_0.8_3,".bumpversion.cfg, .github/workflows/continuous-delivery.yml, .github/workflows/nightlies-run.yml, .github/workflows/stack-integration_tests.yml, .github/workflows/syft-merge_torch_tests.yml, .github/workflows/syft-pr_tests.yml, .github/workflows/syft-security.yml, .github/workflows/syft-version_tests.yml, README.md, VERSION, docs/source/install_tutorials/have_prerequisites.rst, docs/source/install_tutorials/linux.rst, docs/source/install_tutorials/osx_11_5_1.rst, notebooks/Experimental/medical-federated-learning-program/data-owners-full/02-data-owners-setup-domain.ipynb, notebooks/quickstart/01-install-wizard.ipynb, packages/grid/VERSION, packages/grid/ansible/roles/aa_demo/tasks/main.yml, packages/grid/backend/backend.dockerfile, packages/grid/devspace.yaml, packages/grid/frontend/package.json, packages/grid/frontend/src/pages/_domain/login.tsx, packages/grid/frontend/yarn.lock, packages/hagrid/.bumpversion.cfg, packages/hagrid/hagrid/deps.py, packages/hagrid/hagrid/manifest_template.yml, packages/hagrid/hagrid/version.py, packages/hagrid/setup.py, packages/syft/README.md, packages/syft/scripts/adjust_torch_versions.py, packages/syft/setup.cfg, packages/syft/src/syft/VERSION, packages/syft/src/syft/__init__.py, packages/syft/src/syft/core/tensor/autodp/gamma_tensor.py, packages/syft/src/syft/version_compare.py, packages/syft/tests/syft/core/tensor/adp/gamma_tensor_test.py, packages/syft/tests/syft/lib/allowlist_test.json, scripts/hagrid_hash",True,0.8 to dev,"## Description
Please include a summary of the change, the motivation, and any additional context that will help others understand your PR. If it closes one or more open issues, [please tag them as described here](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue#linking-a-pull-request-to-an-issue-using-a-keyword).

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [ ] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [ ] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [ ] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [ ] My changes are covered by tests
",Success
