"action","key","label","cmdString","projectName","commitId"
"Update","python-version","3.7","[3.7]","1adrianb/face-alignment","a7be1fbcbf51fb988afcc42a777f96c3227434fc"
"Tree-Addition","include_url_prefix","include_url_prefix:https://microsoft.github.io/SynapseML","[include_url_prefix:https://microsoft.github.io/SynapseML]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Update","include_url_prefix","include_url_prefix","[include_url_prefix]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Update","include_url_prefix","https://microsoft.github.io/SynapseML","[https://microsoft.github.io/SynapseML]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Tree-Addition","max_depth","max_depth:-1","[max_depth:-1]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Update","max_depth","max_depth","[max_depth]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Tree-Delete","max_depth","-1","","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Tree-Addition","run","wget --spider --recursive --no-verbose --tries=3 --retry-connrefused --no-clobber --directory-prefix=site-check https://microsoft.github.io/SynapseML/","[wget]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Insert","add_pr_comment","add_pr_comment:runs-on:ubuntu-latest name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }}","[add_pr_comment:runs-on:ubuntu-latest]","Azure/mmlspark","6cec79b4ce542f444d9a22cfb5704c68cd52a3bc"
"Insert","add_pr_comment","runs-on:ubuntu-latest name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }}","[runs-on:ubuntu-latest]","Azure/mmlspark","6cec79b4ce542f444d9a22cfb5704c68cd52a3bc"
"Update","creds","creds","[creds]","Azure/mmlspark","93829b1708e3480b041e7fa2729bc7f1a0608675"
"Update","creds","${{ secrets.clean_acr }}","","Azure/mmlspark","93829b1708e3480b041e7fa2729bc7f1a0608675"
"Tree-Addition","tenant-id","tenant-id:${{ secrets.AZURE_TENANT_ID }}","","Azure/mmlspark","93829b1708e3480b041e7fa2729bc7f1a0608675"
"Tree-Delete","paths-ignore","paths-ignore:**.md","","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Tree-Delete","paths-ignore","paths-ignore:**.md","","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Insert","paths-ignore","paths-ignore:**.md","","Azure/mmlspark","1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e"
