"('Insert', 'branches', 'master', '')",557
"('Update', 'python-version', 'PYTHON-VERSION', '')",402
"('Insert', 'jobs', 'jobs', '')",362
"('Delete', 'jobs', 'jobs', '')",329
"('Tree-Addition', 'python-version', 'PYTHON-VERSION', '')",279
"('Tree-Delete', 'python-version', 'PYTHON-VERSION', '')",255
"('Insert', 'push', 'branches:master', '')",166
"('Tree-Addition', 'shell', 'bash', '')",158
"('Tree-Addition', 'steps', 'name:Get', 'current date id:date if:failure() run:echo \\""::set-output name=date::$(date +\'%Y-%m-%d\')\\""')",127
"('Insert', 'pull_request', 'branches:master', '')",124
"('Update', 'run', 'run', '')",119
"('Tree-Addition', 'steps', 'name:Run', 'log collector if:failure() shell:bash run:python ./scripts/container_log_collector.py\\n')",107
"('Tree-Addition', 'steps', 'name:Upload', 'logs to GitHub uses:actions/upload-artifact@master if:failure() with:name:${{ matrix.os }}-${{ steps.job_name.outputs.job_name }}-logs-${{ steps.date.outputs.date }} path:./logs/${{ steps.job_name.outputs.job_name}}/')",97
"('Tree-Addition', 'steps', 'name:Get', 'job name and url id:job if:failure() run:echo \\""::set-output name=job::$(echo ${{ github.job }})\\""\\necho \\""::set-output name=url::$(echo ${{ github.server_url }}/${{ github.repository }}/actions/runs/${{ github.run_id }})\\""\\n')",93
"('Insert', 'on', 'on', '')",93
"('Update', 'uses', 'actions/setup-python@v2', '')",89
"('Update', 'uses', 'actions/checkout@v2', '')",87
"('Tree-Addition', 'if', 'steps.changes.outputs.backend', ""== 'true'"")",84
"('Insert', 'steps', 'steps', '')",84
"('Tree-Addition', 'steps', 'name:Mandatory', ""Container cleanup if:steps.changes.outputs.stack == 'true' continue-on-error:shell:bash run:docker rm `docker ps -aq` --force || true\\ndocker volume prune -f || true\\n"")",79
"('Update', 'name', 'name', '')",75
"('Update', 'if', 'failure()', '')",70
"('Insert', 'on', 'workflow_run:workflows:ci', 'on ubuntu ci on centos7 ci on debian11 ci on macos ci on windows publish doc publish paper pdf CI centos7 debian11 doc MacOS Windows Test import espnet Check kaldi scripts types:requested')",62
"('Insert', 'workflow_run', 'workflows:ci', 'on ubuntu ci on centos7 ci on debian11 ci on macos ci on windows publish doc publish paper pdf CI centos7 debian11 doc MacOS Windows Test import espnet Check kaldi scripts types:requested')",62
"('Tree-Addition', 'if', 'failure()', '')",61
"('Tree-Addition', 'steps', 'name:Job', 'Report Status if:failure() uses:ravsamhq/notify-slack-action@v2 with:status:${{ job.status }} notify_when:failure notification_title: {workflow} has {status_message} message_format:${{matrix.os}} {emoji} *{job}* {status_message} in {run_url} footer:Find the PR here ${{ steps.pull_request.outputs.url }} mention_users:U01LNCACY03,U8KUAD396,UNMQ2SJSW,U01SAESBJA0 mention_users_when:failure,warnings env:SLACK_WEBHOOK_URL:${{ secrets.ACTION_MONITORING_SLACK_WEBHOOK_URL }}')",60
"('Tree-Addition', 'steps', 'name:Get', 'job name and url id:job_name if:failure() run:echo \\""::set-output name=job_name::$(echo ${{ github.job }})\\""\\necho \\""::set-output name=url::$(echo ${{ github.server_url }}/${{ github.repository }}/actions/runs/${{ github.run_id }})\\""\\n')",59
"('Tree-Addition', 'steps', 'name:Get', 'pull request url id:pull_request if:failure() run:echo \\""::set-output name=url::$(echo ${{ github.event.pull_request.html_url }})\\""\\n')",58
"('Update', 'uses', 'actions/checkout@v3', '')",56
"('Insert', 'on', 'push:branches:master', 'pull_request:branches:master')",55
"('Update', 'uses', 'uses', '')",52
"('Tree-Addition', 'if', 'steps.changes.outputs.stack', ""== 'true'"")",50
"('Update', 'runs-on', '${{', 'matrix.os }}')",50
"('Tree-Addition', 'on', 'push', 'pull_request')",49
"('Update', 'uses', 'actions/checkout@v1', '')",49
"('Insert', 'branches', 'dev', '')",48
"('Update', 'id', 'job', '')",44
"('Insert', 'on', 'pull_request:types:closed', 'branches:master paths:tools/** setup.py')",44
"('Update', 'run', 'echo', '\\""::set-output name=job::$(echo ${{ github.job }})\\""\\necho \\""::set-output name=url::$(echo ${{ github.server_url }}/${{ github.repository }}/actions/runs/${{ github.run_id }})\\""\\n')",44
"('Insert', 'paths', 'tools/**', 'setup.py')",44
"('Insert', 'with', 'with', '')",42
"('Update', 'uses', 'actions/setup-python@v1', '')",41
"('Insert', 'python-version', 'PYTHON-VERSION', '')",39
"('Update', 'tags', 'type=raw,value=${{', 'env.GRID_VERSION }}\\ntype=raw,value=beta\\n')",36
"('Update', 'working-directory', 'working-directory', '')",36
"('Tree-Addition', 'on', 'push', '')",36
"('Insert', 'with', 'python-version:3.x', '')",34
"('Tree-Addition', 'if', 'github.event.inputs.release_platform', ""== 'REAL_PYPI'"")",34
"('Insert', 'branches', 'main', '')",34
"('Update', 'if', 'if', '')",33
"('Insert', 'workflows', 'CI', 'centos7 debian9 doc')",32
"('Tree-Addition', 'runs-on', 'ubuntu-latest', '')",32
"('Insert', 'workflow_run', 'workflows:CI', 'centos7 debian9 doc types:requested')",32
"('Update', 'uses', 'docker/build-push-action@v4', '')",32
"('Update', 'uses', 'actions/setup-python@v4', '')",31
"('Tree-Addition', 'jobs', 'cancel:runs-on:ubuntu-latest', 'steps:uses:styfle/cancel-workflow-action@0.11.0 with:workflow_id:${{ github.event.workflow.id }}')",31
"('Insert', 'workflows', 'workflows', '')",31
"('Insert', 'workflows', 'ci', 'on ubuntu ci on centos7 ci on debian11 ci on macos ci on windows publish doc publish paper pdf CI centos7 debian11 doc MacOS Windows Test import espnet Check kaldi scripts')",31
"('Insert', 'workflows', 'publish', 'doc')",31
"('Update', 'os', 'ubuntu-latest', '')",31
"('Tree-Addition', 'name', 'cancel', 'workflows')",31
"('Tree-Addition', 'on', 'pull_request', '')",30
"('Update', 'name', 'Set', 'up Python 3.7')",30
"('Update', 'tags', 'type=raw,value=${{', 'env.GRID_VERSION }}\\ntype=raw,value=latest\\n')",29
"('Update', 'env', 'env', '')",29
"('Insert', 'run', 'working-directory:./packages/grid', '')",29
"('Insert', 'branches', '*', '')",29
"('Insert', 'tags', '*', '')",28
"('Update', 'pytest-modules', 'frontend', 'network security')",28
"('Tree-Delete', 'continue-on-error', '', '')",28
"('Tree-Addition', 'steps', 'name:Mandatory', ""Container cleanup if:steps.changes.outputs.stack == 'true' continue-on-error:shell:bash run:docker rm `docker ps -aq` --force || true\\ndocker volume prune -f || true"")",27
"('Update', 'os', 'windows-latest', '')",27
"('Update', 'os', 'macos-latest', '')",27
"('Tree-Addition', 'runs-on', '${{', 'matrix.os }}')",27
"('Update', 'with', 'with', '')",26
"('Tree-Addition', 'env', 'SNYK_TOKEN:${{', 'secrets.SNYK_TOKEN }}')",26
"('Update', 'if', 'github.repository', ""== 'OpenMined/PySyft'"")",26
"('Insert', 'on', 'push', 'pull_request')",25
