rule_lhf,rule_rhs,conf,lift,supp,conv
"(('distributions', 'insert-tree'),)","(('addons', 'delete-tree'),)",1.0,181.50000000000003,0.0027548209366391185,994490358.1267216
"(('apt', 'insert-node'),)","(('addons', 'insert-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'insert-node'),)","(('apt', 'insert-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'insert-node'),)","(('cache', 'insert-tree'),)",1.0,30.25,0.0027548209366391185,966942148.7603306
"(('addons', 'insert-node'),)","(('install', 'insert-tree'),)",1.0,6.258620689655173,0.0027548209366391185,840220385.674931
"(('addons', 'insert-node'),)","(('language', 'insert-tree'),)",1.0,24.2,0.0027548209366391185,958677685.9504132
"(('packages', 'insert-node'),)","(('addons', 'insert-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'insert-node'),)","(('packages', 'insert-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'insert-node'),)","(('placeholder', 'move-tree'),)",1.0,25.92857142857143,0.0027548209366391185,961432506.8870523
"(('addons', 'insert-node'),)","(('placeholder', 'update-node'),)",1.0,20.166666666666668,0.0027548209366391185,950413223.1404958
"(('addons', 'insert-node'),)","(('python', 'insert-tree'),)",1.0,16.5,0.0027548209366391185,939393939.3939394
"(('addons', 'insert-node'),)","(('script', 'insert-tree'),)",1.0,10.371428571428572,0.0027548209366391185,903581267.2176309
"(('addons', 'insert-node'),)","(('sudo', 'insert-tree'),)",1.0,33.0,0.0027548209366391185,969696969.6969696
"(('before_deploy', 'delete-tree'),)","(('after_deploy', 'update-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('after_deploy', 'update-node'),)","(('before_deploy', 'delete-tree'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('before_deploy', 'insert-tree'),)","(('after_deploy', 'update-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('after_deploy', 'update-node'),)","(('before_deploy', 'insert-tree'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('before_deploy', 'update-node'),)","(('after_deploy', 'update-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('after_deploy', 'update-node'),)","(('before_deploy', 'update-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('after_failure', 'delete-tree'),)","(('after_script', 'insert-tree'),)",1.0,181.50000000000003,0.0027548209366391185,994490358.1267216
"(('after_failure', 'delete-tree'),)","(('after_success', 'delete-tree'),)",1.0,90.75000000000001,0.0027548209366391185,988980716.2534435
"(('after_install', 'delete-tree'),)","(('before_install', 'update-node'),)",1.0,8.853658536585366,0.0027548209366391185,887052341.5977961
"(('after_script', 'insert-node'),)","(('after_script', 'delete-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('after_script', 'delete-node'),)","(('after_script', 'insert-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('after_script', 'move-tree'),)","(('after_script', 'delete-node'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('after_script', 'delete-node'),)","(('after_script', 'move-tree'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('after_script', 'delete-node'),)","(('after_script', 'update-node'),)",1.0,181.50000000000003,0.0027548209366391185,994490358.1267216
