rule_lhf,rule_rhs,conf,lift,supp,conv
"(('cache', 'delete-tree', 'deleted String: ""$TRAVIS_BUILD_DIR/KaSim"" '),)","(('addons', 'delete-tree', 'deleted String: ""avsm"" '),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'delete-tree', 'deleted String: ""avsm"" '),)","(('cache', 'delete-tree', 'deleted String: ""$TRAVIS_BUILD_DIR/KaSim"" '),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('install', 'delete-tree', 'deleted String: ""export KAPPAPATH=$TRAVIS_BUILD_DIR/KaSim"" '),)","(('addons', 'delete-tree', 'deleted String: ""avsm"" '),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'delete-tree', 'deleted String: ""avsm"" '),)","(('install', 'delete-tree', 'deleted String: ""export KAPPAPATH=$TRAVIS_BUILD_DIR/KaSim"" '),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('install', 'delete-tree', 'deleted String: ""if [[ ! -f \\""$KAPPAPATH/KaSim\\"" ]]; then\\n# Kappa\\nsudo apt-get install -y ocaml-nox opam aspcud;\\n# First install ocamlfind via opam (needed to build KaSim/KaSa)\\nopam init -a git://github.com/ocaml/opam-repository && eval $(opam config env);\\nopam install -y conf-which base-bytes;\\nopam install -y ocamlbuild yojson result;\\n# Install KaSim/KaSa\\ngit clone https://github.com/Kappa-Dev/KaSim.git;\\ncd $KAPPAPATH;\\ngit checkout v4.0rc1;\\nmake all;\\ncd $TRAVIS_BUILD_DIR;\\nfi\\n"" '),)","(('addons', 'delete-tree', 'deleted String: ""avsm"" '),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'delete-tree', 'deleted String: ""avsm"" '),)","(('install', 'delete-tree', 'deleted String: ""if [[ ! -f \\""$KAPPAPATH/KaSim\\"" ]]; then\\n# Kappa\\nsudo apt-get install -y ocaml-nox opam aspcud;\\n# First install ocamlfind via opam (needed to build KaSim/KaSa)\\nopam init -a git://github.com/ocaml/opam-repository && eval $(opam config env);\\nopam install -y conf-which base-bytes;\\nopam install -y ocamlbuild yojson result;\\n# Install KaSim/KaSa\\ngit clone https://github.com/Kappa-Dev/KaSim.git;\\ncd $KAPPAPATH;\\ngit checkout v4.0rc1;\\nmake all;\\ncd $TRAVIS_BUILD_DIR;\\nfi\\n"" '),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('distributions', 'insert-tree', '""distributions""'),)","(('addons', 'delete-tree', 'deleted String: ""pandoc"" '),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'delete-tree', 'deleted String: ""pandoc"" '),)","(('distributions', 'insert-tree', '""distributions""'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'delete-tree', 'deleted String: ""pandoc"" '),)","(('install', 'delete-node', ''),)",1.0,51.85714285714286,0.0027548209366391185,980716253.4435261
"(('install', 'move-tree', '""pip install pypandoc==1.4""'),)","(('addons', 'delete-tree', 'deleted String: ""pandoc"" '),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
"(('addons', 'delete-tree', 'deleted String: ""pandoc"" '),)","(('install', 'move-tree', '""pip install pypandoc==1.4""'),)",1.0,363.00000000000006,0.0027548209366391185,997245179.0633608
