Key,occurence,change occurence,change frequency
 concurrency,1867,1816,0.9726834493840386
 on,22773,22698,0.9967066262679489
 matrix,13961,3535,0.25320535778239384
 timeout-minutes,2472,0,0
 environment,204,12,0.058823529411764705
 needs,5489,291,0.053015121151393695
 always,15,0,0
 defaults,2273,1819,0.8002639683238011
 runs-on,22494,177,0.007868765004001067
 condition,0,0,0
 shell,6914,714,0.10326873011281458
 strategy,14058,3535,0.2514582444159909
 restore-keys,4966,75,0.015102698348771646
 continue-on-error,2689,2,0.0007437709185570844
 name,22759,22029,0.9679247770112922
 save-keys,0,0,0
 if,12240,387,0.03161764705882353
 services,429,116,0.2703962703962704
 jobs,22778,22778,1.0
 with,21211,6870,0.3238885483947009
 on_failure,0,0,0
 on_success,0,0,0
 env,11766,2730,0.23202447730749617
outputs,1557,63,0.04046242774566474
 deploy,425,196,0.4611764705882353
 uses,22661,113,0.0049865407528352675
 cache,909,187,0.20572057205720573
 steps,22507,9369,0.4162704936242058
 working-directory,2409,58,0.024076380240763803
 job_name,462,0,0
 permissions,1952,1118,0.5727459016393442
 secrets,874,70,0.08009153318077804
 run,20777,682,0.03282475814602686
