"commandPresence","ChangePresence","projectName","commit"
"{outputs=false, run=true, matrix=true, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=true, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=false, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=false, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","1adrianb/face-alignment","a7be1fbcbf51fb988afcc42a777f96c3227434fc"
"{outputs=false, run=true, matrix=true, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=true, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=false, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=false, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","1adrianb/face-alignment","651e83d533d0d5670600c6bb036d3a86a6c81d46"
"{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=false, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","Azure/mmlspark","93829b1708e3480b041e7fa2729bc7f1a0608675"
"{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=false, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","Azure/mmlspark","ca747bb03518b3c9d361e5e474353a9c68004065"
"{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=false, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","Azure/mmlspark","3b3a65f99c254b885f45d056b2ec7316bce6e324"
"{outputs=false, run=false, matrix=true, deploy=false, permissions=true, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=true, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=false, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=false, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","Azure/mmlspark","b390fd4f980d80566929db10ac85a66c3871ff89"
"{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=false, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","Azure/mmlspark","b5b0962c333bc07c1d6e2eaca9ab6c4c2b9396e6"
"{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=false, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=false, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=false, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=false, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","Azure/mmlspark","641fee0346db6f1beb9470c7b17347db38e1b4de"
"{outputs=false, run=false, matrix=false, deploy=false, permissions=true, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=false, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=true, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=false, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=false, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","Azure/mmlspark","e973d8f3a098f45cc1d29b9d463fac2026626fda"
"{outputs=false, run=false, matrix=false, deploy=false, permissions=true, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=true, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=true, environment=false, condition=false, job_name=false, runs-on=true, defaults=false, shell=false, name=true, uses=true, strategy=false, timeout-minutes=false}","{outputs=false, run=false, matrix=false, deploy=false, permissions=true, restore-keys=false, if=false, on=true, needs=false, always=false, on_failure=false, cache=false, jobs=true, on_success=false, services=false, env=false, working-directory=false, steps=false, secrets=false, concurrency=false, continue-on-error=false, save-keys=false, with=false, environment=false, condition=false, job_name=false, runs-on=false, defaults=false, shell=false, name=true, uses=false, strategy=false, timeout-minutes=false}","Azure/mmlspark","377df2f57d485f91bdef14139c658c14003c3576"
